Ratio O/F   ,  pc psi , Nozzle inl , Nozzle exi , rho kg/m^3,Tc K,M,gamma,k,c* m/s,Is opt s,Is vac s,Cf opt,Cf vac,c factor
2,471,9,4.73,0,2205.1268,23.1813,1.2837,1.1127,1389.5665,207.5773,228.6711,1.4649,1.6138,1
2,472,9,4.73,0,2205.3609,23.1821,1.2837,1.1127,1389.5349,207.5771,228.6714,1.465,1.6138,1
2,473,9,4.73,0,2205.5945,23.1829,1.2837,1.1127,1389.5036,207.5769,228.6717,1.465,1.6139,1
2,474,9,4.73,0,2205.8276,23.1838,1.2837,1.1127,1389.4724,207.5768,228.672,1.465,1.6139,1
2,475,9,4.73,0,2206.0604,23.1846,1.2837,1.1127,1389.4413,207.5766,228.6723,1.4651,1.614,1
2,476,9,4.73,0,2206.2926,23.1855,1.2837,1.1127,1389.4105,207.5764,228.6726,1.4651,1.614,1
2,477,9,4.73,0,2206.5244,23.1863,1.2836,1.1127,1389.3797,207.5762,228.6729,1.4651,1.614,1
2,478,9,4.73,0,2206.7558,23.1871,1.2836,1.1127,1389.3492,207.576,228.6732,1.4652,1.6141,1
2,479,9,4.73,0,2206.9867,23.188,1.2836,1.1127,1389.3188,207.5759,228.6735,1.4652,1.6141,1
2,480,9,4.73,0,2207.2172,23.1888,1.2836,1.1127,1389.2886,207.5757,228.6738,1.4652,1.6142,1
2,481,9,4.73,0,2207.4473,23.1896,1.2836,1.1128,1389.2585,207.5755,228.674,1.4653,1.6142,1
2,482,9,4.73,0,2207.6769,23.1905,1.2836,1.1128,1389.2286,207.5753,228.6743,1.4653,1.6142,1
2,483,9,4.73,0,2207.9061,23.1913,1.2836,1.1128,1389.1989,207.5751,228.6746,1.4653,1.6143,1
2,484,9,4.73,0,2208.1348,23.1921,1.2836,1.1128,1389.1693,207.575,228.6749,1.4653,1.6143,1
2,485,9,4.73,0,2208.3631,23.1929,1.2836,1.1128,1389.1399,207.5748,228.6752,1.4654,1.6143,1
2,486,9,4.73,0,2208.591,23.1938,1.2836,1.1128,1389.1106,207.5746,228.6755,1.4654,1.6144,1
2,487,9,4.73,0,2208.8184,23.1946,1.2836,1.1128,1389.0815,207.5744,228.6758,1.4654,1.6144,1
2,488,9,4.73,0,2209.0454,23.1954,1.2835,1.1128,1389.0525,207.5743,228.6761,1.4655,1.6144,1
2,489,9,4.73,0,2209.272,23.1962,1.2835,1.1128,1389.0237,207.5741,228.6764,1.4655,1.6145,1
2,490,9,4.73,0,2209.4982,23.1971,1.2835,1.1128,1388.995,207.5739,228.6766,1.4655,1.6145,1
2,491,9,4.73,0,2209.7239,23.1979,1.2835,1.1128,1388.9665,207.5737,228.6769,1.4656,1.6145,1
2,492,9,4.73,0,2209.9493,23.1987,1.2835,1.1128,1388.9382,207.5735,228.6772,1.4656,1.6146,1
2,493,9,4.73,0,2210.1742,23.1995,1.2835,1.1128,1388.91,207.5734,228.6775,1.4656,1.6146,1
2,494,9,4.73,0,2210.3987,23.2003,1.2835,1.1128,1388.8819,207.5732,228.6778,1.4656,1.6147,1
2,495,9,4.73,0,2210.6227,23.2011,1.2835,1.1129,1388.854,207.573,228.6781,1.4657,1.6147,1
2,496,9,4.73,0,2210.8464,23.2019,1.2835,1.1129,1388.8262,207.5728,228.6784,1.4657,1.6147,1
2,497,9,4.73,0,2211.0696,23.2028,1.2835,1.1129,1388.7986,207.5727,228.6787,1.4657,1.6148,1
2,498,9,4.73,0,2211.2925,23.2036,1.2835,1.1129,1388.7711,207.5725,228.6789,1.4657,1.6148,1
2,499,9,4.73,0,2211.5149,23.2044,1.2835,1.1129,1388.7438,207.5723,228.6792,1.4658,1.6148,1
2,500,9,4.73,0,2211.7369,23.2052,1.2834,1.1129,1388.7166,207.5721,228.6795,1.4658,1.6149,1
2,501,9,4.73,0,2211.9585,23.206,1.2834,1.1129,1388.6896,207.572,228.6798,1.4658,1.6149,1
2,502,9,4.73,0,2212.1797,23.2068,1.2834,1.1129,1388.6627,207.5718,228.6801,1.4659,1.6149,1
2,503,9,4.73,0,2212.4005,23.2076,1.2834,1.1129,1388.636,207.5716,228.6804,1.4659,1.615,1
2,504,9,4.73,0,2212.6209,23.2084,1.2834,1.1129,1388.6094,207.5714,228.6806,1.4659,1.615,1
2,505,9,4.73,0,2212.8409,23.2092,1.2834,1.1129,1388.5829,207.5713,228.6809,1.4659,1.615,1
2,506,9,4.73,0,2213.0605,23.21,1.2834,1.1129,1388.5566,207.5711,228.6812,1.466,1.6151,1
2,507,9,4.73,0,2213.2797,23.2108,1.2834,1.1129,1388.5304,207.5709,228.6815,1.466,1.6151,1
2,508,9,4.73,0,2213.4985,23.2116,1.2834,1.1129,1388.5044,207.5708,228.6818,1.466,1.6151,1
