Time (s), Liquid Mass (kg)  ,  Chamber Pressure (PSI), Thrust (N), Mass Flow Rate (kg/s)
31.1,5.14721,350,1875.71,0.476051
31.2,5.0996,350,1875.71,0.476051
31.3,5.052,350,1875.71,0.476051
31.4,5.00439,350,1875.71,0.476051
31.5,4.95678,350,1875.71,0.476051
31.6,4.90918,350,1875.71,0.476051
31.7,4.86157,350,1875.71,0.476051
31.8,4.81397,350,1875.71,0.476051
31.9,4.76636,350,1875.71,0.476051
32,4.71876,350,1875.71,0.476051
32.1,4.67115,350,1875.71,0.476051
32.2,4.62355,350,1875.71,0.476051
32.3,4.57594,350,1875.71,0.476051
32.4,4.52834,350,1875.71,0.476051
32.5,4.48073,350,1875.71,0.476051
32.6,4.43313,350,1875.71,0.476051
32.7,4.38552,350,1875.71,0.476051
32.8,4.33792,350,1875.71,0.476051
32.9,4.29031,350,1875.71,0.476051
33,4.24271,350,1875.71,0.476051
33.1,4.1951,350,1875.71,0.476051
33.2,4.1475,350,1875.71,0.476051
33.3,4.09989,350,1875.71,0.476051
33.4,4.05229,350,1875.71,0.476051
33.5,4.00468,350,1875.71,0.476051
33.6,3.95708,350,1875.71,0.476051
33.7,3.90947,350,1875.71,0.476051
33.8,3.86187,350,1875.71,0.476051
33.9,3.81426,350,1875.71,0.476051
34,3.76666,350,1875.71,0.476051
34.1,3.71905,350,1875.71,0.476051
34.2,3.67145,350,1875.71,0.476051
34.3,3.62384,350,1875.71,0.476051
34.4,3.57624,350,1875.71,0.476051
34.5,3.52863,350,1875.71,0.476051
34.6,3.48103,350,1875.71,0.476051
34.7,3.43342,350,1875.71,0.476051
34.8,3.38582,350,1875.71,0.476051
34.9,3.33821,350,1875.71,0.476051
35,3.29061,350,1875.71,0.476051
35.1,3.243,350,1875.71,0.476051
35.2,3.1954,350,1875.71,0.476051
35.3,3.14779,350,1875.71,0.476051
35.4,3.10019,350,1875.71,0.476051
35.5,3.05258,350,1875.71,0.476051
35.6,3.00498,350,1875.71,0.476051
35.7,2.95737,350,1875.71,0.476051
35.8,2.90977,350,1875.71,0.476051
35.9,2.86216,350,1875.71,0.476051
36,2.81455,350,1875.71,0.476051
36.1,2.76695,350,1875.71,0.476051
36.2,2.71934,350,1875.71,0.476051
36.3,2.67174,350,1875.71,0.476051
36.4,2.62413,350,1875.71,0.476051
36.5,2.57653,350,1875.71,0.476051
36.6,2.52892,350,1875.71,0.476051
36.7,2.48132,350,1875.71,0.476051
36.8,2.43371,350,1875.71,0.476051
36.9,2.38611,350,1875.71,0.476051
37,2.3385,350,1875.71,0.476051
37.1,2.2909,350,1875.71,0.476051
37.2,2.24329,350,1875.71,0.476051
37.3,2.19569,350,1875.71,0.476051
37.4,2.14808,350,1875.71,0.476051
37.5,2.10048,350,1875.71,0.476051
37.6,2.05287,350,1875.71,0.476051
37.7,2.00527,350,1875.71,0.476051
37.8,1.95766,350,1875.71,0.476051
37.9,1.91006,350,1875.71,0.476051
38,1.86245,350,1875.71,0.476051
38.1,1.81485,350,1875.71,0.476051
38.2,1.76724,350,1875.71,0.476051
38.3,1.71964,350,1875.71,0.476051
38.4,1.67203,350,1875.71,0.476051
38.5,1.62443,350,1875.71,0.476051
38.6,1.57682,350,1875.71,0.476051
38.7,1.52922,350,1875.71,0.476051
38.8,1.48161,350,1875.71,0.476051
38.9,1.43401,350,1875.71,0.476051
39,1.3864,350,1875.71,0.476051
39.1,1.3388,350,1875.71,0.476051
39.2,1.29119,350,1875.71,0.476051
39.3,1.24359,350,1875.71,0.476051
39.4,1.19598,350,1875.71,0.476051
39.5,1.14838,350,1875.71,0.476051
39.6,1.10077,350,1875.71,0.476051
39.7,1.05317,350,1875.71,0.476051
39.8,1.00556,350,1875.71,0.476051
39.9,0.957956,350,1875.71,0.476051
40,0.91035,350,1875.71,0.476051
40.1,0.862745,350,1875.71,0.476051
40.2,0.81514,350,1875.71,0.476051
40.3,0.767535,350,1875.71,0.476051
40.4,0.71993,350,1875.71,0.476051
40.5,0.672325,350,1875.71,0.476051
40.6,0.62472,350,1875.71,0.476051
40.7,0.577115,350,1875.71,0.476051
40.8,0.52951,350,1875.71,0.476051
40.9,0.481904,350,1875.71,0.476051
41,0.434299,350,1875.71,0.476051
41.1,0.386694,350,1875.71,0.476051
41.2,0.339089,350,1875.71,0.476051
41.3,0.291484,350,1875.71,0.476051
41.4,0.243879,350,1875.71,0.476051
41.5,0.196274,350,1875.71,0.476051
41.6,0.148669,350,1875.71,0.476051
41.7,0.101064,350,1875.71,0.476051
41.8,0.0534584,350,1875.71,0.476051
41.9,0.00585331,350,1875.71,0.476051
